year,PLZ3,gisd_score,population,gisd_5,gisd_10,gisd_k
1998,941,0.59208,106271,4,7,2
1998,942,0.61777,76034,4,7,2
1998,943,0.53276,138187,3,5,2
1998,944,0.48749,155534,2,4,2
1998,945,0.53881,117506,3,6,2
1998,950,0.77407,45545,5,9,3
1998,951,0.5372,101711,3,6,2
1998,952,0.47057,25437,2,4,2
1998,953,0.50298,60703,3,5,2
1998,954,0.46817,137295,2,4,2
1998,955,0.47909,29722,2,4,2
1998,956,0.58245,84819,4,7,2
1998,957,0.58982,12875,4,7,2
1998,960,0.50365,78226,3,5,2
1998,961,0.50331,188122,3,5,2
1998,962,0.50736,97598,3,5,2
1998,963,0.55498,62465,3,6,2
1998,964,0.49799,98792,3,5,2
1998,965,0.82637,44490,5,10,3
1998,970,0.40681,126544,2,3,2
1998,971,0.35162,11273,1,2,1
1998,972,0.36497,178670,1,2,1
1998,973,0.47681,90573,2,4,2
1998,974,0.59172,170112,4,7,2
1998,975,0.59517,75191,4,7,2
1998,976,0.48825,101555,2,4,2
1998,977,0.45041,122580,2,4,2
1998,978,0.38302,95485,1,2,1
1998,979,0.49359,115606,3,5,2
1998,985,0.82353,118903,5,10,3
1998,986,0.80376,139273,5,9,3
1998,987,0.8221,28495,5,10,3
1998,990,0.80754,206777,5,9,3
1998,991,0.86439,38551,5,10,3
1998,993,0.81483,60932,5,10,3
1998,994,0.81974,108325,5,10,3
1998,995,0.87767,39908,5,10,3
1998,996,0.91239,53045,5,10,3
1998,997,0.96989,123153,5,10,3
1998,998,0.77849,211682,5,9,3
1998,999,0.85698,105133,5,10,3
1999,10,0.58286,118981,4,7,2
1999,11,0.58337,205205,4,7,2
1999,12,0.58315,86570,4,7,2
1999,13,0.58318,121622,4,7,2
1999,14,0.71956,118898,4,8,2
1999,15,0.73878,67893,5,9,3
1999,16,0.74018,121583,5,9,3
1999,17,0.74684,163225,5,9,3
1999,18,0.76555,114206,5,9,3
1999,19,0.82472,141046,5,10,3
1999,26,0.80785,93490,5,10,3
1999,27,0.87322,116277,5,10,3
